Fecha;Nivel (m.s.n.m);Caudal (m³/s);Volumen (hm³);Estimado;INDI_CHJ
15-01-2006 00:00:00;0,52590625;0,0602572916667;0,00520623;0;"08A07"
15-01-2006 00:00:00;;8,0;0,6912;0;"08A02"
16-01-2006 00:00:00;0,2607375;;;0;"08A01"
16-01-2006 00:00:00;0,391427083333;0,271836458333;0,02348667;0;"08A07"
16-01-2006 00:00:00;;7,0;0,6048;0;"08A02"
17-01-2006 00:00:00;0,256445833333;;;0;"08A01"
17-01-2006 00:00:00;0,284145833333;0,67101875;0,05797602;0;"08A07"
17-01-2006 00:00:00;;6,0;0,5184;0;"08A02"
18-01-2006 00:00:00;0,248704166667;;;0;"08A01"
18-01-2006 00:00:00;0,2429375;0,329003125;0,02842587;0;"08A07"
18-01-2006 00:00:00;;5,8;0,50112;0;"08A02"
19-01-2006 00:00:00;0,232166666667;;;0;"08A01"
19-01-2006 00:00:00;0,230510416667;0,294588541667;0,02545245;0;"08A07"
19-01-2006 00:00:00;0,0280540540541;5,68873513514;0,491506715676;0;"08A02"
20-01-2006 00:00:00;0,218666666667;;;0;"08A01"
20-01-2006 00:00:00;0,235854166667;0,25138125;0,02171934;0;"08A07"
20-01-2006 00:00:00;0,07446875;2,812128125;0,24296787;0;"08A02"
21-01-2006 00:00:00;0,228116666667;;;0;"08A01"
21-01-2006 00:00:00;0,23278125;0,276527083333;0,02389194;0;"08A07"
21-01-2006 00:00:00;-0,0240972222222;1,95219270833;0,16866945;0;"08A02"
22-01-2006 00:00:00;0,224870833333;;;0;"08A01"
22-01-2006 00:00:00;0,22221875;0,242411458333;0,02094435;0;"08A07"
22-01-2006 00:00:00;-0,0179722222222;3,33150416667;0,28784196;0;"08A02"
23-01-2006 00:00:00;0,214483333333;;;0;"08A01"
23-01-2006 00:00:00;0,208510416667;0,249166666667;0,021528;0;"08A07"
23-01-2006 00:00:00;0,00838888888889;2,589728125;0,22375251;0;"08A02"
24-01-2006 00:00:00;0,197495833333;;;0;"08A01"
24-01-2006 00:00:00;0,2085625;0,238021875;0,02056509;0;"08A07"
24-01-2006 00:00:00;0,0154965277778;4,04671875;0,3496365;0;"08A02"
25-01-2006 00:00:00;0,195458333333;;;0;"08A01"
25-01-2006 00:00:00;0,191197916667;0,214594791667;0,01854099;0;"08A07"
25-01-2006 00:00:00;0,0755729166667;4,26905416667;0,36884628;0;"08A02"
26-01-2006 00:00:00;0,190058333333;;;0;"08A01"
26-01-2006 00:00:00;0,215833333333;0,217914583333;0,01882782;0;"08A07"
26-01-2006 00:00:00;0,151121527778;3,55953854167;0,30754413;0;"08A02"
27-01-2006 00:00:00;0,190379166667;;;0;"08A01"
27-01-2006 00:00:00;0,20253125;0,217592708333;0,01880001;0;"08A07"
27-01-2006 00:00:00;0,174045138889;0,939775;0,08119656;0;"08A02"
28-01-2006 00:00:00;0,238791666667;;;0;"08A01"
28-01-2006 00:00:00;0,313975694444;0,164047916667;0,01417374;0;"08A02"
28-01-2006 00:00:00;0,26728125;0,514921875;0,04448925;0;"08A07"
29-01-2006 00:00:00;0,2564125;;;0;"08A01"
29-01-2006 00:00:00;0,267614583333;0,437005208333;0,03775725;0;"08A07"
29-01-2006 00:00:00;0,215236111111;0,524930208333;0,04535397;0;"08A02"
30-01-2006 00:00:00;0,263420833333;;;0;"08A01"
30-01-2006 00:00:00;0,292510416667;0,436096875;0,03767877;0;"08A07"
30-01-2006 00:00:00;0,286899305556;4,89418229167;0,42285735;0;"08A02"
31-01-2006 00:00:00;0,305658333333;;;0;"08A01"
31-01-2006 00:00:00;0,272024305556;-2,01934583333;-0,17447148;0;"08A02"
31-01-2006 00:00:00;0,390645833333;0,772951041667;0,06678297;0;"08A07"
01-02-2006 00:00:00;0,3126875;;;0;"08A01"
01-02-2006 00:00:00;0,446020833333;0,600798958333;0,05190903;0;"08A07"
01-02-2006 00:00:00;0,237472222222;11,627621875;1,00462653;0;"08A02"
02-02-2006 00:00:00;0,306070833333;;;0;"08A01"
02-02-2006 00:00:00;0,26665625;0,321597916667;0,02778606;0;"08A07"
02-02-2006 00:00:00;0,120173611111;8,54356458333;0,73816398;0;"08A02"
03-02-2006 00:00:00;0,290816666667;;;0;"08A01"
03-02-2006 00:00:00;0,2781875;0,278702083333;0,02407986;0;"08A07"
03-02-2006 00:00:00;0,124177083333;6,21352395833;0,53684847;0;"08A02"
04-02-2006 00:00:00;0,2816375;;;0;"08A01"
04-02-2006 00:00:00;0,281854166667;0,315615625;0,02726919;0;"08A07"
04-02-2006 00:00:00;0,169458333333;4,8971375;0,42311268;0;"08A02"
05-02-2006 00:00:00;0,269129166667;;;0;"08A01"
05-02-2006 00:00:00;0,267458333333;0,316522916667;0,02734758;0;"08A07"
05-02-2006 00:00:00;0,185253472222;5,92056770833;0,51153705;0;"08A02"
06-02-2006 00:00:00;0,2418625;;;0;"08A01"
06-02-2006 00:00:00;0,240729166667;0,2620875;0,02264436;0;"08A07"
06-02-2006 00:00:00;0,160534722222;11,3567270833;0,98122122;0;"08A02"
07-02-2006 00:00:00;0,215004166667;;;0;"08A01"
07-02-2006 00:00:00;0,22446875;0,2573375;0,02223396;0;"08A07"
07-02-2006 00:00:00;0,11653125;10,2074177083;0,88192089;0;"08A02"
08-02-2006 00:00:00;0,1982;;;0;"08A01"
08-02-2006 00:00:00;0,19321875;0,229305208333;0,01981197;0;"08A07"
08-02-2006 00:00:00;0,0483715277778;5,88389583333;0,5083686;0;"08A02"
09-02-2006 00:00:00;0,2021625;;;0;"08A01"
